customer_id,customer_name,email,city,state,customer_segment
C000105,Peter Danladi,customer000105@quickmart.example,Ado-Ekiti,Ekiti,Mass Market
C000106,Peter Balogun,customer000106@quickmart.example,Port Harcourt,Rivers,Mass Market
C000107,Peter Lawal,customer000107@quickmart.example,Port Harcourt,Rivers,Mass Market
C000108,Hauwa Mohammed,customer000108@quickmart.example,Lagos,Lagos,Mass Market
C000109,Tunde Sani,customer000109@quickmart.example,Abeokuta,Ogun,Mass Market
C000110,Yusuf Okoro,customer000110@quickmart.example,Lagos,Lagos,Mass Market
C000111,Samuel Okoro,customer000111@quickmart.example,Ado-Ekiti,Ekiti,Mass Market
C000112,Peter Ogunleye,customer000112@quickmart.example,Osogbo,Osun,Mass Market
C000113,Musa Okoro,customer000113@quickmart.example,Ibadan,Oyo,Mass Market
C000114,Tunde Okafor,customer000114@quickmart.example,Abuja,FCT,Mass Market
C000115,Ngozi Ibrahim,customer000115@quickmart.example,Kaduna,Kaduna,Mass Market
C000116,Esther Ibrahim,customer000116@quickmart.example,Ado-Ekiti,Ekiti,Mass Market
C000117,Amina Nwosu,customer000117@quickmart.example,Jos,Plateau,Mass Market
C000118,Mary Balogun,customer000118@quickmart.example,Lagos,Lagos,Premium
C000119,Samuel Sani,customer000119@quickmart.example,Enugu,Enugu,Mass Market
C000120,David Adebayo,customer000120@quickmart.example,Lekki,Lagos,Mass Market
C000121,Chinedu Mohammed,customer000121@quickmart.example,Onitsha,Anambra,Business
C000122,Hauwa Adebayo,customer000122@quickmart.example,Akure,Ondo,Premium
C000123,Hauwa Sani,customer000123@quickmart.example,Ikeja,Lagos,Mass Market
C000124,Tunde Ibrahim,customer000124@quickmart.example,Maiduguri,Borno,Mass Market
C000125,Emeka Akinyemi,customer000125@quickmart.example,Ilorin,Kwara,Mass Market
C000126,Esther Garba,customer000126@quickmart.example,Ikeja,Lagos,Mass Market
C000127,Daniel Musa,customer000127@quickmart.example,Abeokuta,Ogun,Mass Market
C000128,Peter Okoro,customer000128@quickmart.example,Ibadan,Oyo,Business
C000129,Esther Nwosu,customer000129@quickmart.example,Akure,Ondo,Business
C000130,Michael Eze,customer000130@quickmart.example,Uyo,Akwa Ibom,Mass Market
C000131,Esther Mohammed,customer000131@quickmart.example,Kaduna,Kaduna,Business
C000132,Musa Musa,customer000132@quickmart.example,Port Harcourt,Rivers,Premium
C000133,David Adeyemi,customer000133@quickmart.example,Kano,Kano,Premium
C000134,Musa Ogunleye,customer000134@quickmart.example,Jos,Plateau,Business
C000135,Peter Yusuf,customer000135@quickmart.example,Onitsha,Anambra,Mass Market
C000136,Fatima Eze,customer000136@quickmart.example,Ibadan,Oyo,Mass Market
C000137,Michael Eze,customer000137@quickmart.example,Calabar,Cross River,Premium
C000138,Amina Danladi,customer000138@quickmart.example,Osogbo,Osun,Mass Market
C000139,Ibrahim Danladi,customer000139@quickmart.example,Maiduguri,Borno,Premium
C000140,Chinedu Sani,customer000140@quickmart.example,Ibadan,Oyo,Premium
C000141,Kelechi Adeyemi,customer000141@quickmart.example,Jos,Plateau,Premium
C000142,Grace Nwosu,customer000142@quickmart.example,Abuja,FCT,Mass Market
C000143,Samuel Garba,customer000143@quickmart.example,Onitsha,Anambra,Mass Market
C000144,Chinedu Okoro,customer000144@quickmart.example,Kano,Kano,Mass Market
C000145,Kelechi Okoro,customer000145@quickmart.example,Kaduna,Kaduna,Premium
C000146,Emeka Balogun,customer000146@quickmart.example,Lekki,Lagos,Mass Market
C000147,Amina Bello,customer000147@quickmart.example,Enugu,Enugu,Mass Market
C000148,Grace Abdullahi,customer000148@quickmart.example,Port Harcourt,Rivers,Premium
C000149,Ada Garba,customer000149@quickmart.example,Enugu,Enugu,Mass Market
C000150,Daniel Balogun,customer000150@quickmart.example,Kano,Kano,Mass Market
C000151,Emeka Ogunleye,customer000151@quickmart.example,Calabar,Cross River,Mass Market
C000152,Fatima Ogunleye,customer000152@quickmart.example,Onitsha,Anambra,Mass Market
C000153,Zainab Garba,customer000153@quickmart.example,Ibadan,Oyo,Premium
C000154,Fatima Ogunleye,customer000154@quickmart.example,Kaduna,Kaduna,Premium
C000155,Chinedu Musa,customer000155@quickmart.example,Ilorin,Kwara,Mass Market
C000156,Hauwa Danladi,customer000156@quickmart.example,Lekki,Lagos,Mass Market
C000157,Mary Ibrahim,customer000157@quickmart.example,Kaduna,Kaduna,Mass Market
C000158,Musa Adebayo,customer000158@quickmart.example,Akure,Ondo,Mass Market
C000159,Ngozi Okafor,customer000159@quickmart.example,Jos,Plateau,Premium
C000160,Peter Sani,customer000160@quickmart.example,Port Harcourt,Rivers,Mass Market
C000161,Kelechi Danladi,customer000161@quickmart.example,Ilorin,Kwara,Mass Market
C000162,Hauwa Musa,customer000162@quickmart.example,Kano,Kano,Mass Market
C000163,Chinedu Abdullahi,customer000163@quickmart.example,Ado-Ekiti,Ekiti,Mass Market
C000164,Chinedu Musa,customer000164@quickmart.example,Lagos,Lagos,Premium
C000165,Chinedu Okafor,customer000165@quickmart.example,Benin City,Edo,Mass Market
C000166,Ada Balogun,customer000166@quickmart.example,Enugu,Enugu,Mass Market
C000167,Ibrahim Adebayo,customer000167@quickmart.example,Abeokuta,Ogun,Mass Market
C000168,John Yusuf,customer000168@quickmart.example,Calabar,Cross River,Mass Market
C000169,Ibrahim Ogunleye,customer000169@quickmart.example,Ikeja,Lagos,Premium
C000170,Amina Balogun,customer000170@quickmart.example,Ilorin,Kwara,Mass Market
C000171,David Okafor,customer000171@quickmart.example,Onitsha,Anambra,Mass Market
C000172,David Ibrahim,customer000172@quickmart.example,Calabar,Cross River,Mass Market
C000173,Peter Ogunleye,customer000173@quickmart.example,Abeokuta,Ogun,Mass Market
C000174,Sarah Okafor,customer000174@quickmart.example,Ibadan,Oyo,Premium
C000175,Yusuf Ogunleye,customer000175@quickmart.example,Enugu,Enugu,Mass Market
C000176,Tunde Sani,customer000176@quickmart.example,Maiduguri,Borno,Premium
C000177,Yusuf Ogunleye,customer000177@quickmart.example,Calabar,Cross River,Mass Market
C000178,John Mohammed,customer000178@quickmart.example,Abeokuta,Ogun,Mass Market
C000179,Zainab Yusuf,customer000179@quickmart.example,Jos,Plateau,Mass Market
C000180,Ngozi Yusuf,customer000180@quickmart.example,Abuja,FCT,Mass Market
C000181,Oluwaseun Adeyemi,customer000181@quickmart.example,Calabar,Cross River,Mass Market
C000182,Mary Balogun,customer000182@quickmart.example,Port Harcourt,Rivers,Premium
C000183,Ngozi Okoro,customer000183@quickmart.example,Jos,Plateau,Mass Market
C000184,Yusuf Akinyemi,customer000184@quickmart.example,Lagos,Lagos,Mass Market
C000185,Ngozi Ibrahim,customer000185@quickmart.example,Onitsha,Anambra,Mass Market
C000186,Tunde Yusuf,customer000186@quickmart.example,Jos,Plateau,Mass Market
C000187,John Usman,customer000187@quickmart.example,Lagos,Lagos,Mass Market
C000188,Blessing Eze,customer000188@quickmart.example,Ibadan,Oyo,Mass Market
C000189,Grace Akinyemi,customer000189@quickmart.example,Uyo,Akwa Ibom,Mass Market
C000190,Fatima Balogun,customer000190@quickmart.example,Uyo,Akwa Ibom,Business
C000191,Yusuf Yusuf,customer000191@quickmart.example,Benin City,Edo,Mass Market
C000192,Michael Garba,customer000192@quickmart.example,Calabar,Cross River,Mass Market
C000193,Michael Yusuf,customer000193@quickmart.example,Uyo,Akwa Ibom,Mass Market
C000194,Blessing Danladi,customer000194@quickmart.example,Onitsha,Anambra,Premium
C000195,Oluwaseun Akinyemi,customer000195@quickmart.example,Abeokuta,Ogun,Premium
C000196,David Ogunleye,customer000196@quickmart.example,Jos,Plateau,Mass Market
C000197,Ibrahim Lawal,customer000197@quickmart.example,Ado-Ekiti,Ekiti,Mass Market
C000198,David Balogun,customer000198@quickmart.example,Kano,Kano,Business
C000199,Ibrahim Akinyemi,customer000199@quickmart.example,Ilorin,Kwara,Mass Market
C000200,Kelechi Eze,customer000200@quickmart.example,Ado-Ekiti,Ekiti,Mass Market
C000201,Blessing Ibrahim,customer000201@quickmart.example,Port Harcourt,Rivers,Premium
C000202,Zainab Garba,customer000202@quickmart.example,Port Harcourt,Rivers,Mass Market
C000203,Ngozi Danladi,customer000203@quickmart.example,Ibadan,Oyo,Mass Market
C000204,Yusuf Okoro,customer000204@quickmart.example,Benin City,Edo,Premium
C000205,Tunde Bello,customer000205@quickmart.example,Lagos,Lagos,Business
C000206,Samuel Okoro,customer000206@quickmart.example,Lekki,Lagos,Mass Market
C000207,Peter Yusuf,customer000207@quickmart.example,Port Harcourt,Rivers,Mass Market
C000208,Kelechi Musa,customer000208@quickmart.example,Abeokuta,Ogun,Mass Market
C000209,Samuel Adeyemi,customer000209@quickmart.example,Kano,Kano,Premium
C000210,Peter Abdullahi,customer000210@quickmart.example,Kaduna,Kaduna,Premium
C000211,Samuel Okoro,customer000211@quickmart.example,Benin City,Edo,Business
C000212,Yusuf Yusuf,customer000212@quickmart.example,Ilorin,Kwara,Mass Market
C000213,Peter Lawal,customer000213@quickmart.example,Jos,Plateau,Mass Market
C000214,Tunde Balogun,customer000214@quickmart.example,Ado-Ekiti,Ekiti,Mass Market
C000215,Sarah Ogunleye,customer000215@quickmart.example,Benin City,Edo,Mass Market
C000216,Samuel Okoro,customer000216@quickmart.example,Maiduguri,Borno,Mass Market
C000217,Daniel Musa,customer000217@quickmart.example,Maiduguri,Borno,Mass Market
C000218,David Ibrahim,customer000218@quickmart.example,Jos,Plateau,Premium
C000219,Tunde Abdullahi,customer000219@quickmart.example,Calabar,Cross River,Mass Market
C000220,Zainab Usman,customer000220@quickmart.example,Benin City,Edo,Premium
C000221,Mary Mohammed,customer000221@quickmart.example,Akure,Ondo,Mass Market
C000222,Tunde Nwosu,customer000222@quickmart.example,Calabar,Cross River,Premium
C000223,Yusuf Okoro,customer000223@quickmart.example,Kano,Kano,Mass Market
C000224,Grace Musa,customer000224@quickmart.example,Kano,Kano,Mass Market
C000225,Sarah Danladi,customer000225@quickmart.example,Akure,Ondo,Mass Market
C000226,Fatima Bello,customer000226@quickmart.example,Port Harcourt,Rivers,Premium
C000227,Ada Yusuf,customer000227@quickmart.example,Ilorin,Kwara,Mass Market
C000228,Esther Garba,customer000228@quickmart.example,Ilorin,Kwara,Premium
C000229,Musa Usman,customer000229@quickmart.example,Ibadan,Oyo,Mass Market
C000230,John Musa,customer000230@quickmart.example,Abeokuta,Ogun,Mass Market
C000231,Tunde Danladi,customer000231@quickmart.example,Osogbo,Osun,Premium
C000232,Emeka Yusuf,customer000232@quickmart.example,Abuja,FCT,Premium
C000233,Amina Bello,customer000233@quickmart.example,Akure,Ondo,Mass Market
C000234,Sarah Lawal,customer000234@quickmart.example,Kaduna,Kaduna,Mass Market
C000235,Ngozi Usman,customer000235@quickmart.example,Ado-Ekiti,Ekiti,Mass Market
C000236,Yusuf Sani,customer000236@quickmart.example,Enugu,Enugu,Premium
C000237,Hauwa Eze,customer000237@quickmart.example,Ikeja,Lagos,Business
C000238,Chinedu Adebayo,customer000238@quickmart.example,Abuja,FCT,Premium
C000239,Fatima Mohammed,customer000239@quickmart.example,Maiduguri,Borno,Premium
C000240,Michael Danladi,customer000240@quickmart.example,Abeokuta,Ogun,Premium
C000241,Mary Balogun,customer000241@quickmart.example,Abeokuta,Ogun,Premium
C000242,Esther Garba,customer000242@quickmart.example,Lekki,Lagos,Mass Market
C000243,David Yusuf,customer000243@quickmart.example,Onitsha,Anambra,Mass Market
C000244,Hauwa Yusuf,customer000244@quickmart.example,Ado-Ekiti,Ekiti,Mass Market
C000245,Michael Ogunleye,customer000245@quickmart.example,Osogbo,Osun,Mass Market
C000246,David Yusuf,customer000246@quickmart.example,Akure,Ondo,Mass Market
C000247,Sarah Ibrahim,customer000247@quickmart.example,Akure,Ondo,Business
C000248,Chinedu Lawal,customer000248@quickmart.example,Osogbo,Osun,Premium
C000249,Peter Ibrahim,customer000249@quickmart.example,Enugu,Enugu,Premium
C000250,Daniel Okoro,customer000250@quickmart.example,Ado-Ekiti,Ekiti,Premium
C000251,John Garba,customer000251@quickmart.example,Onitsha,Anambra,Premium
C000252,Ngozi Lawal,customer000252@quickmart.example,Lekki,Lagos,Mass Market
C000253,John Sani,customer000253@quickmart.example,Lagos,Lagos,Mass Market
C000254,Ibrahim Mohammed,customer000254@quickmart.example,Ikeja,Lagos,Premium
C000255,Hauwa Yusuf,customer000255@quickmart.example,Kano,Kano,Mass Market
C000256,Mary Adebayo,customer000256@quickmart.example,Benin City,Edo,Premium
C000257,Hauwa Usman,customer000257@quickmart.example,Onitsha,Anambra,Mass Market
C000258,David Adebayo,customer000258@quickmart.example,Port Harcourt,Rivers,Mass Market
C000259,John Bello,customer000259@quickmart.example,Kaduna,Kaduna,Mass Market
C000260,Esther Garba,customer000260@quickmart.example,Uyo,Akwa Ibom,Premium
C000261,Peter Garba,customer000261@quickmart.example,Akure,Ondo,Premium
C000262,John Ibrahim,customer000262@quickmart.example,Abeokuta,Ogun,Mass Market
C000263,Fatima Balogun,customer000263@quickmart.example,Abuja,FCT,Mass Market
C000264,Oluwaseun Garba,customer000264@quickmart.example,Osogbo,Osun,Business
C000265,Kelechi Yusuf,customer000265@quickmart.example,Maiduguri,Borno,Mass Market
C000266,Esther Danladi,customer000266@quickmart.example,Kano,Kano,Premium
C000267,Tunde Akinyemi,customer000267@quickmart.example,Port Harcourt,Rivers,Premium
C000268,Ibrahim Ogunleye,customer000268@quickmart.example,Enugu,Enugu,Premium
C000269,Michael Abdullahi,customer000269@quickmart.example,Onitsha,Anambra,Mass Market
C000270,Esther Okafor,customer000270@quickmart.example,Akure,Ondo,Premium
C000271,Fatima Lawal,customer000271@quickmart.example,Lekki,Lagos,Business
C000272,Amina Nwosu,customer000272@quickmart.example,Port Harcourt,Rivers,Mass Market
C000273,Mary Nwosu,customer000273@quickmart.example,Abeokuta,Ogun,Premium
C000274,Oluwaseun Adeyemi,customer000274@quickmart.example,Calabar,Cross River,Mass Market
C000275,Chinedu Garba,customer000275@quickmart.example,Enugu,Enugu,Business
C000276,Ngozi Yusuf,customer000276@quickmart.example,Uyo,Akwa Ibom,Mass Market
C000277,Tunde Garba,customer000277@quickmart.example,Osogbo,Osun,Mass Market
C000278,Peter Mohammed,customer000278@quickmart.example,Calabar,Cross River,Mass Market
C000279,Daniel Adeyemi,customer000279@quickmart.example,Akure,Ondo,Business
C000280,David Sani,customer000280@quickmart.example,Ado-Ekiti,Ekiti,Mass Market
C000281,Samuel Balogun,customer000281@quickmart.example,Onitsha,Anambra,Mass Market
C000282,Ngozi Lawal,customer000282@quickmart.example,Kaduna,Kaduna,Mass Market
C000283,Hauwa Lawal,customer000283@quickmart.example,Kano,Kano,Premium
C000284,Ngozi Mohammed,customer000284@quickmart.example,Kaduna,Kaduna,Mass Market
C000285,Tunde Lawal,customer000285@quickmart.example,Onitsha,Anambra,Mass Market
C000286,Oluwaseun Ibrahim,customer000286@quickmart.example,Ado-Ekiti,Ekiti,Mass Market
C000287,John Balogun,customer000287@quickmart.example,Kaduna,Kaduna,Premium
C000288,Esther Adebayo,customer000288@quickmart.example,Enugu,Enugu,Premium
C000289,Musa Sani,customer000289@quickmart.example,Jos,Plateau,Premium
C000290,Tunde Ogunleye,customer000290@quickmart.example,Onitsha,Anambra,Mass Market
C000291,Ada Garba,customer000291@quickmart.example,Ado-Ekiti,Ekiti,Mass Market
C000292,Samuel Akinyemi,customer000292@quickmart.example,Jos,Plateau,Mass Market
C000293,Oluwaseun Balogun,customer000293@quickmart.example,Kaduna,Kaduna,Mass Market
C000294,Ibrahim Bello,customer000294@quickmart.example,Abeokuta,Ogun,Mass Market
C000295,Musa Nwosu,customer000295@quickmart.example,Benin City,Edo,Mass Market
C000296,Musa Ibrahim,customer000296@quickmart.example,Benin City,Edo,Business
C000297,Emeka Adeyemi,customer000297@quickmart.example,Ibadan,Oyo,Business
C000298,Chinedu Musa,customer000298@quickmart.example,Maiduguri,Borno,Mass Market
C000299,Fatima Danladi,customer000299@quickmart.example,Akure,Ondo,Premium
C000300,Amina Ogunleye,customer000300@quickmart.example,Abuja,FCT,Premium
C000301,Blessing Abdullahi,customer000301@quickmart.example,Osogbo,Osun,Business
C000302,Ada Bello,customer000302@quickmart.example,Abuja,FCT,Mass Market
C000303,Amina Nwosu,customer000303@quickmart.example,Jos,Plateau,Mass Market
C000304,Zainab Yusuf,customer000304@quickmart.example,Lekki,Lagos,Mass Market
C000305,Musa Eze,customer000305@quickmart.example,Onitsha,Anambra,Mass Market
C000306,Mary Bello,customer000306@quickmart.example,Benin City,Edo,Mass Market
C000307,Fatima Eze,customer000307@quickmart.example,Abuja,FCT,Mass Market
C000308,Musa Nwosu,customer000308@quickmart.example,Abuja,FCT,Mass Market
C000309,Fatima Bello,customer000309@quickmart.example,Osogbo,Osun,Premium
C000310,David Adebayo,customer000310@quickmart.example,Ilorin,Kwara,Mass Market
C000311,Hauwa Adeyemi,customer000311@quickmart.example,Ibadan,Oyo,Mass Market
C000312,Hauwa Sani,customer000312@quickmart.example,Lekki,Lagos,Mass Market
C000313,David Musa,customer000313@quickmart.example,Ikeja,Lagos,Mass Market
C000314,Fatima Musa,customer000314@quickmart.example,Abeokuta,Ogun,Mass Market
C000315,Samuel Bello,customer000315@quickmart.example,Uyo,Akwa Ibom,Business
C000316,Hauwa Garba,customer000316@quickmart.example,Ikeja,Lagos,Mass Market
C000317,Sarah Sani,customer000317@quickmart.example,Abeokuta,Ogun,Mass Market
C000318,Sarah Okoro,customer000318@quickmart.example,Lagos,Lagos,Mass Market
C000319,Oluwaseun Eze,customer000319@quickmart.example,Onitsha,Anambra,Mass Market
C000320,Peter Abdullahi,customer000320@quickmart.example,Ado-Ekiti,Ekiti,Mass Market
C000321,Ibrahim Abdullahi,customer000321@quickmart.example,Port Harcourt,Rivers,Business
C000322,David Danladi,customer000322@quickmart.example,Osogbo,Osun,Mass Market
C000323,Michael Lawal,customer000323@quickmart.example,Ilorin,Kwara,Mass Market
C000324,Zainab Ibrahim,customer000324@quickmart.example,Calabar,Cross River,Premium
C000325,Kelechi Nwosu,customer000325@quickmart.example,Kano,Kano,Premium
C000326,Grace Lawal,customer000326@quickmart.example,Akure,Ondo,Premium
C000327,Grace Bello,customer000327@quickmart.example,Onitsha,Anambra,Mass Market
C000328,Amina Garba,customer000328@quickmart.example,Ikeja,Lagos,Mass Market
C000329,Mary Bello,customer000329@quickmart.example,Ikeja,Lagos,Mass Market
C000330,Musa Musa,customer000330@quickmart.example,Akure,Ondo,Mass Market
C000331,Musa Garba,customer000331@quickmart.example,Abuja,FCT,Mass Market
C000332,Blessing Ogunleye,customer000332@quickmart.example,Benin City,Edo,Premium
C000333,Fatima Abdullahi,customer000333@quickmart.example,Calabar,Cross River,Mass Market
C000334,Ada Okafor,customer000334@quickmart.example,Calabar,Cross River,Mass Market
C000335,Tunde Lawal,customer000335@quickmart.example,Lagos,Lagos,Mass Market
C000336,Ada Nwosu,customer000336@quickmart.example,Onitsha,Anambra,Premium
C000337,Kelechi Abdullahi,customer000337@quickmart.example,Osogbo,Osun,Mass Market
C000338,Fatima Ogunleye,customer000338@quickmart.example,Kano,Kano,Mass Market
